qsetId,qId,qType,objName,objIndex,totalSteps,exposureStep,temporalExposure,spatialExposureRatio,objArea,totalArea,requestedAssist,answeredCorrect,navigated,classY
2124,66,color_room,cabinet,21,29,17,10,0.010049676225255428,96693,9621504,False,False,True,1
2244,3471,exist_positive,towel,31,43,23,2,0.046511627906976744,663552,14266368,False,True,True,4
2244,3407,location,shower,36,43,26,2,0.0026394945090439277,37656,14266368,False,True,True,4
2244,3468,exist_positive,plant,18,43,19,2,0.046511627906976744,663552,14266368,False,False,True,1
2610,5165,exist_positive,shelves,32,37,17,2,0.05405405405405406,663552,12275712,True,True,True,5
2610,5198,color_room,fireplace,26,37,1,4,0.0069512872247247245,85332,12275712,False,False,False,0
2943,5205,location,seating,1,35,21,3,0.0011813478284832452,13718,11612160,False,False,True,1
2943,5206,location,fireplace,26,35,29,4,0.00027927620701058203,3243,11612160,False,True,True,4
2943,5271,color_room,curtain,15,35,1,4,0.008875523589065256,103064,11612160,False,False,True,1
1917,897,color_room,microwave,13,29,1,11,0.001456321173903789,14012,9621504,False,False,True,1
1917,845,location,shelves,32,29,28,1,0.0009340535533737761,8987,9621504,False,False,True,1
2135,3470,exist_positive,curtain,15,25,25,1,0.04,331776,8294400,False,False,False,0
2135,3472,exist_positive,sink,23,25,21,2,0.08,663552,8294400,True,True,True,5
688,3272,location,plant,18,39,24,1,6.190460292022793e-05,801,12939264,True,True,True,5
688,3325,exist_positive,shelves,32,39,39,1,0.02564102564102564,331776,12939264,True,True,True,5
194,4578,exist_positive,seating,1,43,7,2,0.046511627906976744,663552,14266368,False,True,False,3
194,4532,location,countertop,34,43,34,9,0.0007883576254306633,11247,14266368,False,False,False,0
3442,371,color,fireplace,26,29,8,12,0.019294488678693062,185642,9621504,False,True,False,3
3442,367,exist_positive,curtain,15,29,29,1,0.034482758620689655,331776,9621504,False,True,False,3
3442,369,exist_negative,toilet,0,29,29,1,0.034482758620689655,331776,9621504,False,False,False,0
906,76,location,wardrobe,25,37,6,2,0.001759083302052052,21594,12275712,False,True,True,4
906,134,exist_negative,countertop,34,37,37,1,0.02702702702702703,331776,12275712,False,True,True,4
1914,1656,location,washer,10,43,27,3,0.0010297645483419466,14691,14266368,False,True,False,3
3249,1013,exist_positive,shelves,32,35,13,2,0.05714285714285714,663552,11612160,True,True,True,5
3249,1022,color,clothes,39,35,2,2,0.0022621975584215166,26269,11612160,False,False,False,0
150,1078,exist_positive,fireplace,26,29,21,2,0.06896551724137931,663552,9621504,False,True,False,3
150,1090,color_room,fireplace,26,29,13,6,0.0004343395793422733,4179,9621504,True,True,True,5
150,1077,exist_negative,sofa,33,29,5,2,0.06896551724137931,663552,9621504,False,False,False,0
1563,3003,exist_positive,table,7,37,17,2,0.05405405405405406,663552,12275712,False,False,False,0
1563,2965,location,towel,31,37,1,5,0.0011678345011678344,14336,12275712,False,True,False,3
2621,2810,exist_positive,cushion,24,23,3,2,0.08695652173913043,663552,7630848,False,True,True,4
2621,2832,color_room,plant,18,23,11,3,0.0016065055941358024,12259,7630848,False,True,True,4
2621,2809,exist_positive,toaster,11,23,23,1,0.043478260869565216,331776,7630848,False,True,True,4
2879,214,color_room,oven,6,35,2,4,0.007738525821208113,89861,11612160,True,True,True,5
2879,204,exist_positive,seating,1,35,7,2,0.05714285714285714,663552,11612160,False,False,False,0
2879,201,exist_positive,stove,37,35,7,2,0.05714285714285714,663552,11612160,False,True,False,3
871,880,exist_positive,coffeepot,29,39,29,2,0.05128205128205128,663552,12939264,False,True,False,3
2625,682,color_room,picture,17,39,13,1,0.0009092480066872428,11765,12939264,False,False,False,0
38,3485,color_room,sink,23,39,5,2,0.0006641799719056664,8594,12939264,False,True,True,4
1577,1081,color,dishwasher,30,29,23,4,0.0009428879310344828,9072,9621504,False,True,False,3
1577,1077,exist_negative,sofa,33,29,7,2,0.06896551724137931,663552,9621504,False,True,False,3
466,2942,exist_positive,console,14,37,9,2,0.05405405405405406,663552,12275712,False,True,False,3
466,2940,exist_positive,toaster,11,37,37,1,0.02702702702702703,331776,12275712,False,True,False,3
466,2896,location,console,14,37,4,3,0.003296020630005005,40461,12275712,True,True,True,5
477,4607,location,console,14,27,1,3,0.004243380629858253,38012,8957952,False,True,True,4
477,4653,exist_positive,chair,8,27,5,2,0.07407407407407407,663552,8957952,False,True,True,4
854,4578,exist_positive,seating,1,29,23,2,0.06896551724137931,663552,9621504,True,True,True,5
736,2403,location,sofa,33,29,1,6,0.014096029061568753,135625,9621504,False,False,True,1
736,2434,color_room,countertop,34,29,1,14,0.00942565736084504,90689,9621504,False,True,True,4
1326,2824,color_room,fireplace,26,33,26,7,0.007522782804900861,82364,10948608,False,True,False,3
1326,2809,exist_positive,toaster,11,33,25,2,0.06060606060606061,663552,10948608,False,False,False,0
1326,2839,color_room,dryer,5,33,1,3,0.0045607624275159,49934,10948608,False,False,False,0
1326,2819,color,washer,10,33,1,4,0.007108026883417508,77823,10948608,False,True,False,3
647,1077,exist_negative,sofa,33,29,5,2,0.06896551724137931,663552,9621504,False,True,True,4
647,1078,exist_positive,fireplace,26,29,21,2,0.06896551724137931,663552,9621504,False,False,True,1
647,1050,location,towel,31,29,17,5,9.312473392933163e-05,896,9621504,False,False,True,1
688,3272,location,plant,18,39,24,1,6.190460292022793e-05,801,12939264,False,False,False,0
688,3325,exist_positive,shelves,32,39,39,1,0.02564102564102564,331776,12939264,True,True,True,5
1866,1388,color_room,stool,12,33,31,1,8.439429012345679e-05,924,10948608,False,False,True,1
1866,1313,location,countertop,34,33,1,8,0.017757873877665545,194424,10948608,False,False,True,1
1866,1362,exist_positive,seating,1,33,5,2,0.06060606060606061,663552,10948608,False,True,True,4
1866,1365,exist_positive,shelves,32,33,19,2,0.06060606060606061,663552,10948608,False,True,True,4
2793,4358,exist_positive,towel,31,31,23,2,0.06451612903225806,663552,10285056,False,True,True,4
2793,4375,color_room,sink,23,31,7,5,0.00019290123456790122,1984,10285056,False,True,True,4
2793,4324,location,wardrobe,25,31,26,1,6.903219583831143e-06,71,10285056,False,True,True,4
3463,1389,location,toilet,0,43,40,3,0.0006459247371159919,9215,14266368,False,True,False,3
3463,1444,color_room,console,14,43,2,6,0.001799336733778352,25670,14266368,True,True,True,5
3463,1446,color_room,shelves,32,43,2,5,0.000165564213680735,2362,14266368,False,False,False,0
1338,128,exist_negative,clothes,39,31,7,2,0.06451612903225806,663552,10285056,False,False,True,1
3611,1081,color,dishwasher,30,27,2,6,0.00041181287865797896,3689,8957952,True,True,True,5
3611,1050,location,towel,31,27,2,6,0.00036358757001600365,3257,8957952,True,True,True,5
1769,76,location,wardrobe,25,43,42,1,0.000258790464398507,3692,14266368,True,True,True,5
3384,2075,color_room,cabinet,21,71,2,20,0.006379707401430186,150281,23556096,True,True,True,5
3384,2069,exist_positive,sink,23,71,15,2,0.028169014084507043,663552,23556096,False,True,False,3
3384,2019,location,toilet,0,71,2,15,0.001555648270409494,36645,23556096,False,True,False,3
1071,733,exist_negative,table,7,37,37,1,0.02702702702702703,331776,12275712,False,True,True,4
1071,746,color_room,shelves,32,37,8,9,0.0032719894373540205,40166,12275712,False,True,True,4
765,2392,color_room,sofa,33,37,1,11,0.011002131688980647,135059,12275712,False,True,False,3
765,2396,color_room,sink,23,37,2,1,3.66577515015015e-06,45,12275712,False,True,False,3
765,2387,color_room,plant,18,37,35,2,9.082976205372039e-05,1115,12275712,False,True,False,3
1717,731,exist_negative,sofa,33,45,45,1,0.022222222222222223,331776,14929920,False,True,True,4
1717,688,location,fireplace,26,45,19,7,0.008071778013545954,120511,14929920,False,True,True,4
3246,4977,color_room,dishwasher,30,41,1,9,0.001880787037037037,25584,13602816,False,True,False,3
3246,4965,exist_positive,dryer,22,41,11,2,0.04878048780487805,663552,13602816,True,True,True,5
3246,4998,color_room,table,7,41,25,8,0.0037780412526347484,51392,13602816,False,True,False,3
1411,1013,exist_positive,shelves,32,31,23,2,0.06451612903225806,663552,10285056,False,True,True,4
1411,971,location,blinds,16,31,7,4,1.3223068498606134e-05,136,10285056,False,False,True,1
1411,1037,color_room,cabinet,21,31,1,5,0.004371390880127439,44960,10285056,False,False,True,1
756,202,exist_negative,bathtub,38,35,7,2,0.05714285714285714,663552,11612160,False,True,True,4
756,203,exist_negative,fridge,20,35,7,2,0.05714285714285714,663552,11612160,False,False,True,1
756,201,exist_positive,stove,37,35,7,2,0.05714285714285714,663552,11612160,False,True,True,4
1721,2087,color_room,console,14,23,1,9,0.010370800204643048,79138,7630848,False,True,False,3
1721,2070,exist_positive,towel,31,23,11,2,0.08695652173913043,663552,7630848,False,True,False,3
1721,2019,location,toilet,0,23,1,12,0.0030957240925254966,23623,7630848,False,True,False,3
688,3272,location,plant,18,39,24,1,6.190460292022793e-05,801,12939264,False,False,True,1
688,3325,exist_positive,shelves,32,39,39,1,0.02564102564102564,331776,12939264,False,True,True,4
1625,1148,exist_positive,countertop,34,33,33,1,0.030303030303030304,331776,10948608,False,True,False,3
1625,1167,color_room,table,7,33,31,2,0.0008325259247568275,9115,10948608,False,False,False,0
1625,1159,color_room,bed,35,33,4,5,0.024109366231762065,263964,10948608,False,True,False,3
1625,1095,location,fireplace,26,33,3,7,0.005708031559811074,62495,10948608,False,False,False,0
3356,387,color_room,countertop,34,27,2,11,0.008176087570016003,73241,8957952,False,True,False,3
3356,328,location,countertop,34,27,2,11,0.008176087570016003,73241,8957952,False,True,False,3
2198,5165,exist_positive,shelves,32,43,7,2,0.046511627906976744,663552,14266368,False,True,True,4
2198,5178,color_room,table,7,43,2,1,0.0011693235447171979,16682,14266368,False,True,True,4
2198,5101,location,sofa,33,43,25,3,0.004595283116207292,65558,14266368,False,False,True,1
2689,2068,exist_positive,cabinet,21,29,7,2,0.06896551724137931,663552,9621504,False,True,False,3
2689,2019,location,toilet,0,29,2,7,0.0022062039365155386,21227,9621504,False,True,False,3
2689,2080,color_room,cabinet,21,29,26,3,0.024291316617443593,233719,9621504,False,True,False,3
1453,4169,exist_positive,stool,12,39,3,2,0.05128205128205128,663552,12939264,True,False,True,2
1453,4166,exist_positive,sofa,33,39,19,2,0.05128205128205128,663552,12939264,False,True,False,3
1453,4168,exist_positive,cabinet,21,39,3,2,0.05128205128205128,663552,12939264,False,True,False,3
1374,896,color_room,toaster,11,31,1,12,0.003325310042064914,34201,10285056,False,False,True,1
1374,846,location,clothes,39,31,30,1,0.0021831675004978096,22454,10285056,False,False,True,1
1917,897,color_room,microwave,13,29,1,11,0.001456321173903789,14012,9621504,False,False,True,1
1917,845,location,shelves,32,29,28,1,0.0009340535533737761,8987,9621504,False,False,True,1
428,736,color,fireplace,26,37,17,14,0.027431728603603604,336744,12275712,False,False,False,0
428,759,color_room,table,7,37,32,5,0.0016222276964464465,19914,12275712,True,True,True,5
3225,2940,exist_positive,toaster,11,37,37,1,0.02702702702702703,331776,12275712,False,False,False,0
3225,2942,exist_positive,console,14,37,9,2,0.05405405405405406,663552,12275712,True,True,True,5
3225,2946,color,console,14,37,4,3,0.003296020630005005,40461,12275712,False,True,False,3
2115,5062,color_room,sink,23,39,1,13,0.002561814953308009,33148,12939264,False,False,False,0
3018,1433,exist_positive,sofa,33,43,21,2,0.046511627906976744,663552,14266368,False,True,True,4
2721,305,color_room,clothes,39,39,36,2,0.0002485458214624881,3216,12939264,False,True,False,3
2721,284,exist_positive,door,19,39,31,2,0.05128205128205128,663552,12939264,True,True,True,5
3384,2075,color_room,cabinet,21,71,2,20,0.006379707401430186,150281,23556096,False,True,True,4
3384,2069,exist_positive,sink,23,71,15,2,0.028169014084507043,663552,23556096,False,True,True,4
3384,2019,location,toilet,0,71,2,15,0.001555648270409494,36645,23556096,False,True,True,4
3387,49,exist_negative,countertop,34,29,23,2,0.06896551724137931,663552,9621504,False,False,True,1
3387,63,color_room,plant,18,29,19,7,0.0008331337803320561,8016,9621504,False,True,True,4
207,5283,color_room,shelves,32,37,28,6,0.004807704840256923,59018,12275712,True,True,True,5
207,5278,color_room,plant,18,37,26,2,0.00032136628816316316,3945,12275712,True,True,True,5
207,5263,exist_positive,cushion,24,37,37,1,0.02702702702702703,331776,12275712,False,True,False,3
2559,880,exist_positive,coffeepot,29,31,21,2,0.06451612903225806,663552,10285056,False,True,False,3
2559,879,exist_positive,toaster,11,31,21,2,0.06451612903225806,663552,10285056,False,True,False,3
784,5205,location,seating,1,31,2,1,0.0005603275276284349,5763,10285056,True,True,True,5
784,5277,color_room,countertop,34,31,20,6,0.003678832667512943,37837,10285056,True,True,True,5
784,5263,exist_positive,cushion,24,31,7,2,0.06451612903225806,663552,10285056,False,True,False,3
784,5275,color_room,shelves,32,31,27,4,0.00025473852548785344,2620,10285056,True,True,True,5
1067,1391,location,console,14,25,2,6,0.0030948591820987655,25670,8294400,False,False,False,0
1067,1392,location,fireplace,26,25,18,6,0.0398461612654321,330500,8294400,False,False,False,0
2702,3475,exist_positive,countertop,34,35,35,1,0.02857142857142857,331776,11612160,True,True,True,5
2702,3484,color_room,door,19,35,6,6,0.024842837163800705,288479,11612160,False,True,False,3
2702,3472,exist_positive,sink,23,35,23,2,0.05714285714285714,663552,11612160,False,True,False,3
2702,3501,color_room,countertop,34,35,21,4,0.002759434937169312,32043,11612160,True,True,True,5
1418,2732,color_room,table,7,31,11,12,0.016076334440959777,165346,10285056,True,True,True,5
1418,2721,exist_positive,curtain,15,31,15,2,0.06451612903225806,663552,10285056,False,False,False,0
1418,2719,exist_positive,dryer,22,31,31,1,0.03225806451612903,331776,10285056,False,True,False,3
987,2089,location,curtain,15,41,2,4,0.006622672834801265,90087,13602816,False,True,False,3
987,2129,color,curtain,15,41,2,4,0.006622672834801265,90087,13602816,False,True,False,3
2129,4358,exist_positive,towel,31,49,49,1,0.02040816326530612,331776,16257024,False,True,False,3
3633,4358,exist_positive,towel,31,31,31,1,0.03225806451612903,331776,10285056,False,True,False,3
1691,4656,exist_positive,countertop,34,31,31,1,0.03225806451612903,331776,10285056,False,False,False,0
1691,4666,color_room,console,14,31,1,2,0.0022046549868080445,22675,10285056,False,True,False,3
1691,4669,color_room,stool,12,31,1,4,0.0004745720392771804,4881,10285056,False,False,False,0
1691,4673,color_room,sofa,33,31,20,5,0.005556119480535643,57145,10285056,False,False,False,0
3538,668,exist_negative,curtain,15,35,15,2,0.05714285714285714,663552,11612160,True,True,True,5
2701,4192,location,washer,10,43,4,4,0.004296608639283664,61297,14266368,False,True,False,3
2701,4230,exist_positive,coffeepot,29,43,37,2,0.046511627906976744,663552,14266368,False,True,False,3
672,4523,exist_positive,cabinet,21,41,25,2,0.04878048780487805,663552,13602816,True,True,True,5
672,4527,color_room,table,7,41,13,2,0.0007169838950993677,9753,13602816,True,True,True,5
3388,3837,location,fireplace,26,27,21,6,0.004938517196787837,44239,8957952,False,False,True,1
3388,3872,exist_positive,stool,12,27,21,2,0.07407407407407407,663552,8957952,False,True,True,4
3388,3871,exist_positive,cushion,24,27,21,2,0.07407407407407407,663552,8957952,False,True,True,4
3388,3878,color_room,sofa,33,27,5,4,0.022866275684442158,204835,8957952,False,False,True,1
2244,3471,exist_positive,towel,31,43,23,2,0.046511627906976744,663552,14266368,False,True,False,3
2244,3407,location,shower,36,43,26,2,0.0026394945090439277,37656,14266368,False,True,False,3
2244,3468,exist_positive,plant,18,43,19,2,0.046511627906976744,663552,14266368,True,True,True,5
2541,2068,exist_positive,cabinet,21,39,11,2,0.05128205128205128,663552,12939264,True,True,True,5
2541,2021,location,console,14,39,1,8,0.006046711775878443,78240,12939264,False,False,False,0
2541,2019,location,toilet,0,39,1,12,0.001825683439181703,23623,12939264,False,True,False,3
451,1259,exist_positive,fireplace,26,41,29,2,0.04878048780487805,663552,13602816,False,True,False,3
305,1585,color_room,toilet,0,29,10,4,0.001338148380959983,12875,9621504,True,True,True,5
305,1570,exist_positive,chair,8,29,21,2,0.06896551724137931,663552,9621504,False,True,False,3
1709,76,location,wardrobe,25,43,6,2,0.0015136298180447889,21594,14266368,False,False,True,1
1709,130,exist_negative,curtain,15,43,21,2,0.046511627906976744,663552,14266368,False,False,True,1
1709,126,exist_negative,chair,8,43,21,2,0.046511627906976744,663552,14266368,False,False,True,1
3304,4358,exist_positive,towel,31,37,27,2,0.05405405405405406,663552,12275712,False,True,False,3
3304,4360,color,wardrobe,25,37,21,3,7.250088630296964e-06,89,12275712,True,True,True,5
2792,4799,location,shelves,32,37,35,2,9.35179971638305e-05,1148,12275712,True,True,True,5
2792,4801,location,seating,1,37,2,3,0.0005620040613530197,6899,12275712,False,False,False,0
2792,4846,color_room,cabinet,21,37,18,5,0.010189958839047381,125089,12275712,True,True,True,5
1295,4373,color_room,countertop,34,37,5,2,0.001561864598973974,19173,12275712,False,True,True,4
1295,4358,exist_positive,towel,31,37,27,2,0.05405405405405406,663552,12275712,False,True,True,4
1295,4369,color_room,cabinet,21,37,16,5,0.0006634238405071739,8144,12275712,False,True,True,4
1295,4324,location,wardrobe,25,37,21,3,7.250088630296964e-06,89,12275712,False,True,True,4
3000,4657,color,console,14,37,33,4,0.0013616318141057725,16715,12275712,True,True,True,5
3000,4607,location,console,14,37,33,4,0.0013616318141057725,16715,12275712,False,True,True,4
3000,4653,exist_positive,chair,8,37,35,2,0.05405405405405406,663552,12275712,False,True,True,4
1845,2340,location,sofa,33,25,8,6,0.005001567322530864,41485,8294400,False,False,False,0
1845,2341,location,countertop,34,25,20,3,0.0015458622685185185,12822,8294400,False,True,False,3
307,3709,color,stove,4,37,32,5,0.003379926150108442,41491,12275712,True,True,True,5
307,3708,exist_positive,door,19,37,7,2,0.05405405405405406,663552,12275712,True,True,True,5
1567,1381,color_room,curtain,15,27,5,2,0.00029314736225422955,2626,8957952,False,True,False,3
1567,1364,exist_positive,fireplace,26,27,17,2,0.07407407407407407,663552,8957952,False,True,False,3
1567,1365,exist_positive,shelves,32,27,17,2,0.07407407407407407,663552,8957952,True,False,True,2
1905,4376,color_room,shelves,32,33,32,1,0.00018513769056303778,2027,10948608,False,True,True,4
1905,4377,color_room,towel,31,33,32,1,5.589751683501684e-05,612,10948608,False,True,True,4
1905,4358,exist_positive,towel,31,33,7,2,0.06060606060606061,663552,10948608,False,True,True,4
3391,4832,color,stove,4,37,35,2,8.129874666333e-05,998,12275712,False,True,False,3
3391,4799,location,shelves,32,37,35,2,9.35179971638305e-05,1148,12275712,True,True,True,5
3391,4836,color,seating,1,37,2,3,0.0005620040613530197,6899,12275712,True,True,True,5
1662,2663,location,console,14,33,8,6,0.0059190172851197155,64805,10948608,False,False,True,1
1198,1278,location,shower,36,39,6,4,0.00027574984172206395,3568,12939264,False,True,True,4
1198,1302,exist_positive,seating,1,39,29,2,0.05128205128205128,663552,12939264,False,True,True,4
1342,4933,location,washer,10,41,4,5,0.008623729086683228,117307,13602816,False,True,False,3
1342,4965,exist_positive,dryer,22,41,7,2,0.04878048780487805,663552,13602816,False,True,False,3
1342,4969,color,washer,10,41,4,5,0.008623729086683228,117307,13602816,False,True,False,3
167,126,exist_negative,chair,8,33,21,2,0.06060606060606061,663552,10948608,True,True,True,5
167,76,location,wardrobe,25,33,6,2,0.0019723055204826038,21594,10948608,False,True,False,3
167,154,color_room,wardrobe,25,33,6,2,0.0019723055204826038,21594,10948608,False,True,False,3
2010,3247,exist_positive,cushion,24,35,35,1,0.02857142857142857,331776,11612160,False,True,True,4
2010,3262,color_room,sofa,33,35,8,6,0.0017759831073633158,20623,11612160,False,False,True,1
2010,3199,location,wardrobe,25,35,2,2,0.006492418292548501,75391,11612160,False,True,True,4
870,372,color,sofa,33,27,14,7,0.019453665302069045,174265,8957952,False,True,False,3
870,366,exist_negative,shower,36,27,27,1,0.037037037037037035,331776,8957952,True,True,True,5
870,388,color_room,shelves,32,27,2,2,0.0008210582061614083,7355,8957952,False,True,False,3
1969,5263,exist_positive,cushion,24,33,13,2,0.06060606060606061,663552,10948608,False,True,True,4
970,2809,exist_positive,toaster,11,31,23,2,0.06451612903225806,663552,10285056,True,True,True,5
970,2826,color_room,stove,4,31,22,2,0.0002792400935882119,2872,10285056,True,False,True,2
2833,2019,location,toilet,0,41,2,7,0.0015604857111939175,21227,13602816,False,True,True,4
3594,4358,exist_positive,towel,31,31,7,2,0.06451612903225806,663552,10285056,False,True,False,3
3162,2073,color_room,door,19,35,1,13,0.04142820973875661,481071,11612160,False,True,False,3
3162,2066,exist_positive,curtain,15,35,7,2,0.05714285714285714,663552,11612160,True,True,True,5
3162,2019,location,toilet,0,35,2,7,0.0018279975473985892,21227,11612160,False,True,False,3
479,1595,location,wardrobe,25,37,1,14,0.038650466873123124,474462,12275712,False,True,False,3
479,1648,color_room,curtain,15,37,10,10,0.00276709000667334,33968,12275712,False,False,False,0
479,1649,color_room,fireplace,26,37,11,5,7.3315503003003e-07,9,12275712,False,True,False,3
1071,733,exist_negative,table,7,37,37,1,0.02702702702702703,331776,12275712,False,True,False,3
1071,746,color_room,shelves,32,37,8,9,0.0032719894373540205,40166,12275712,False,True,False,3
2653,3493,color_room,microwave,13,41,31,10,0.0011028598784251732,15002,13602816,False,True,True,4
2653,3407,location,shower,36,41,24,2,0.0027681768245633844,37655,13602816,False,True,True,4
2643,69,color_room,plant,18,41,15,4,0.0002217187970490816,3016,13602816,True,True,True,5
2643,51,exist_positive,shelves,32,41,7,2,0.04878048780487805,663552,13602816,True,True,True,5
2643,52,exist_negative,chair,8,41,7,2,0.04878048780487805,663552,13602816,False,False,False,0
2686,688,location,fireplace,26,29,2,8,0.029403095399638143,282902,9621504,False,True,False,3
2686,731,exist_negative,sofa,33,29,29,1,0.034482758620689655,331776,9621504,False,True,False,3
2686,755,color_room,sink,23,29,8,7,0.0006506259312473393,6260,9621504,True,True,True,5
2686,751,color_room,chair,8,29,4,8,0.011375768279054918,109452,9621504,False,True,False,3
634,3189,color_room,stove,4,25,12,3,0.0024756462191358026,20534,8294400,True,True,True,5
634,3158,location,sofa,33,25,2,4,0.004943335262345679,41002,8294400,False,False,False,0
1679,3071,exist_positive,curtain,15,37,37,1,0.02702702702702703,331776,12275712,False,False,True,1
1679,3029,location,fireplace,26,37,10,8,0.007892658283283283,96888,12275712,False,True,True,4
1741,879,exist_positive,toaster,11,31,5,2,0.06451612903225806,663552,10285056,False,True,False,3
1741,846,location,clothes,39,31,30,1,0.0021831675004978096,22454,10285056,False,True,False,3
3167,2340,location,sofa,33,37,1,11,0.010003737461419753,122803,12275712,False,False,False,0
3167,2384,color,countertop,34,37,1,6,0.0043216230553470136,53051,12275712,False,True,False,3
3167,2341,location,countertop,34,37,1,6,0.0043216230553470136,53051,12275712,False,True,False,3
2846,3477,color,stove,4,43,6,9,0.006719579923916164,95864,14266368,False,True,False,3
2846,3407,location,shower,36,43,30,3,0.003679002252009762,52486,14266368,False,True,False,3
2846,3492,color_room,sink,23,43,6,6,0.0008880326092807925,12669,14266368,True,True,True,5
2884,71,color_room,door,19,41,2,3,0.0014983662206413731,20382,13602816,False,True,True,4
2884,56,exist_negative,cabinet,21,41,13,2,0.04878048780487805,663552,13602816,False,False,True,1
2884,54,exist_positive,sofa,33,41,13,2,0.04878048780487805,663552,13602816,False,False,True,1
727,3382,exist_positive,appliance,9,43,11,2,0.046511627906976744,663552,14266368,False,True,False,3
727,3396,color_room,curtain,15,43,2,5,0.0008916074504737296,12720,14266368,True,True,True,5
727,3391,color_room,table,7,43,2,11,0.000563493104902383,8039,14266368,True,True,True,5
727,3384,exist_positive,plant,18,43,43,1,0.023255813953488372,331776,14266368,False,False,False,0
1445,1521,location,toilet,0,27,10,3,0.000993753929469593,8902,8957952,False,True,True,4
745,76,location,wardrobe,25,43,6,2,0.0015136298180447889,21594,14266368,False,False,False,0
1807,1364,exist_positive,fireplace,26,45,7,2,0.044444444444444446,663552,14929920,False,True,False,3
1807,1363,exist_positive,appliance,9,45,31,2,0.044444444444444446,663552,14929920,False,True,False,3
2464,3708,exist_positive,door,19,45,45,1,0.022222222222222223,331776,14929920,False,True,False,3
3636,522,exist_positive,cabinet,21,33,33,1,0.030303030303030304,331776,10948608,True,True,True,5
1658,212,color_room,sofa,33,43,24,8,0.006585488331718346,93951,14266368,False,True,True,4
1658,203,exist_negative,fridge,20,43,43,1,0.023255813953488372,331776,14266368,False,False,True,1
1658,208,color,wardrobe,25,43,3,8,0.027661139821992534,394624,14266368,False,True,True,4
603,2341,location,countertop,34,25,17,4,0.00737256462191358,61151,8294400,False,True,False,3
603,2340,location,sofa,33,25,6,5,0.0054392119984567906,45115,8294400,False,False,False,0
2541,2068,exist_positive,cabinet,21,39,11,2,0.05128205128205128,663552,12939264,False,True,True,4
2541,2021,location,console,14,39,1,8,0.006046711775878443,78240,12939264,False,False,True,1
2541,2019,location,toilet,0,39,1,12,0.001825683439181703,23623,12939264,False,True,True,4
1814,764,location,blinds,16,37,32,5,0.006770849625667334,83117,12275712,False,False,False,0
